Beifallsbekundung	Sg	Fem	Akk	Beifallsbekundung	2	3/10/2005 13:24:44	3/10/2005 13:24:45		168
Beigeschmack	Sg	Masc	Akk	Beigeschmack	2	3/10/2005 12:26:34	3/10/2005 12:26:43		169
Bein	Sg	Neut	Nom.Akk	Bein	4	3/10/2005 12:2:3	3/10/2005 12:12:49		170
Beispiel	Sg	Neut	Nom.Akk.Dat	Beispiel	70	3/10/2005 11:44:22	3/10/2005 13:43:26		171
Beispiele	Sg.Pl	Fem	Nom.Dat	Beispiel	5	3/10/2005 11:48:7	3/10/2005 12:3:30		172
Beispiels	Sg	Masc.Neut	Gen	Beispiel	1	3/10/2005 11:50:6	3/10/2005 11:50:6		173
Beispielsatz	Sg	Masc.Fem	Nom	Beispielsatz	2	3/10/2005 12:8:41	3/10/2005 12:8:55		174
Beitrag	Sg	Masc.Fem.Neut	Akk	Beitrag	2	3/10/2005 12:2:3	3/10/2005 12:2:23		175
Beiträge	Sg	Masc.Fem.Neut	Nom	Beiträge	2	3/10/2005 11:45:5	3/10/2005 11:45:7		176
Bekannte	Sg	Fem	Nom	Bekannte	2	3/10/2005 12:2:3	3/10/2005 12:2:22		177
Bekannter	Sg	Masc.Neut	Nom	Bekannte	2	3/10/2005 12:12:34	3/10/2005 12:12:50		178
Bekämpfung	Sg	Fem	Dat	Bekämpfung	1	3/10/2005 11:49:9	3/10/2005 11:49:9		179
Bemerkungen	Sg	Masc.Fem.Neut	Akk	Bemerkungen.Bemerkunge.Bemerkung	2	3/10/2005 12:7:54	3/10/2005 12:8:8		180
Benefizkonzert	Sg	Masc.Neut	Dat	Benefizkonzert	2	3/10/2005 13:24:44	3/10/2005 13:24:45		181
Benennung	Sg	Fem	Dat	Benennung	2	3/10/2005 11:51:7	3/10/2005 11:51:14		182
Bereich	Sg	Masc.Neut	Dat	Bereich	2	3/10/2005 11:57:59	3/10/2005 11:58:12		183
Bereichen	Pl	Masc.Fem.Neut	Dat	Bereich	5	3/10/2005 12:54:9	3/10/2005 13:42:11		184
Bergbau	Sg	Masc.Neut	Dat	Bergbau	2	3/10/2005 13:33:23	3/10/2005 13:33:40		185
Bergbaus	Sg	Masc.Neut	Gen	Bergbau	2	3/10/2005 13:33:22	3/10/2005 13:33:40		186
Bergmann	Sg	Masc.Fem.Neut	Akk	Bergmann	2	3/10/2005 12:6:56	3/10/2005 12:7:10		187
Bergmannssprache	Sg	Fem	Nom.Dat	Bergmannssprache	6	3/10/2005 13:33:22	3/10/2005 13:33:40		188
Bergung	Sg	Fem	Dat	Bergung	2	3/10/2005 12:25:41	3/10/2005 12:25:52		189
Bericht	Sg	Masc.Neut	Dat	Bericht	4	3/10/2005 11:46:2	3/10/2005 11:48:7		190
Berichtes	Sg	Masc.Neut	Gen	Bericht	1	3/10/2005 11:46:2	3/10/2005 11:46:2		191
Berlinerin	Sg	Masc.Fem.Neut	Nom	Berlinerin	2	3/10/2005 12:5:45	3/10/2005 12:6:3		192
Beruf	Sg	Masc.Neut	Dat	Beruf	2	3/10/2005 12:2:2	3/10/2005 12:2:22		193
Berührung	Sg	Fem	Akk	Berührung	2	3/10/2005 12:12:33	3/10/2005 12:12:49		194
